program_base,program,mode,approx_type,N,dist,K,tempo_mean,tempo_std,ipc_mean,cache_miss_rate_mean,cache_misses_mean,checksum_mean,error_abs_mean,error_rel_mean,rmse_mean,error_max_mean,parameter_type,kernel_size,block_size,tempo_exact_mean,speedup_vs_exact
conv_malloc,conv_malloc,exact,none,1024,1,7,0.037364999999999995,0.00038779891696599593,2.00467636653661,0.45931891878600223,740969.4,-577.7457032,0.0,0.0,0.0,0.0,K,7.0,,0.037364999999999995,1.0
conv_malloc,conv_malloc,exact,none,1024,2,3,0.0101594,9.352741725172234e-05,1.9672371842767766,0.4655847845338008,688167.6,1044881.5360514,0.0,0.0,0.0,0.0,K,3.0,,0.0101594,1.0
conv_malloc,conv_malloc,exact,none,1024,2,5,0.0219605,0.00010667421848267248,1.9690287831176867,0.48196050503250853,724055.2,1040801.9274223,0.0,0.0,0.0,0.0,K,5.0,,0.0219605,1.0
conv_malloc,conv_malloc,exact,none,1024,2,7,0.0379821,0.0002456232209435153,2.074061489378021,0.4789794979446417,743947.3,1036732.1666661,0.0,0.0,0.0,0.0,K,7.0,,0.0379821,1.0
conv_malloc,conv_malloc,exact,none,2048,0,3,0.0409265,0.0004774639602455171,1.7311477704487914,0.6545559755297794,3612789.4,2093281.0055839003,0.0,0.0,0.0,0.0,K,3.0,,0.0409265,1.0
conv_malloc,conv_malloc,exact,none,2048,0,5,0.08644579999999999,0.0009438352963661926,1.8192492954598147,0.6323108665805224,3701182.8,2089198.0648876,0.0,0.0,0.0,0.0,K,5.0,,0.08644579999999999,1.0
conv_malloc,conv_malloc,exact,none,2048,0,7,0.1500568,0.0011506013693330529,1.9609624960479048,0.5539047804724683,3690503.4,2085115.5476845999,0.0,0.0,0.0,0.0,K,7.0,,0.1500568,1.0
conv_malloc,conv_malloc,exact,none,2048,1,3,0.0397231,0.00042175175689550465,1.921220581788559,0.6347049538380205,3611696.7,-501.23366100000004,0.0,0.0,0.0,0.0,K,3.0,,0.0397231,1.0
conv_malloc,conv_malloc,exact,none,2048,1,5,0.0847725,0.0008928039787346643,1.940740660770782,0.6127072777964722,3717933.5,-516.9343082,0.0,0.0,0.0,0.0,K,5.0,,0.0847725,1.0
conv_malloc,conv_malloc,exact,none,2048,1,7,0.1464684,0.00023474203335198507,2.0111453329120126,0.533510620958195,3686351.7,-526.7654585,0.0,0.0,0.0,0.0,K,7.0,,0.1464684,1.0
conv_malloc,conv_malloc,exact,none,2048,2,3,0.0406341,0.0005408418232512903,1.9740362207057962,0.6521720774910731,3656344.7,4186744.4241393,0.0,0.0,0.0,0.0,K,3.0,,0.0406341,1.0
conv_malloc,conv_malloc,exact,none,2048,2,5,0.0869331,0.0010007897381568173,1.988788442645744,0.6211776329933819,3718302.8,4178582.7965974,0.0,0.0,0.0,0.0,K,5.0,,0.0869331,1.0
conv_malloc,conv_malloc,exact,none,2048,2,7,0.14898260000000002,0.0006020328894670118,2.0774978282571315,0.5367488168659833,3682389.0,4170434.0024392,0.0,0.0,0.0,0.0,K,7.0,,0.14898260000000002,1.0
conv_malloc,conv_malloc_approx,approx,float,512,0,3,0.0045206000000000005,0.00044764251610210376,1.8043378408036226,0.25070182140186986,146891.4,130081.0929852,1.94476e-08,3.87999e-08,2.50487e-08,1.331905e-07,K,3.0,,0.0032589,0.72089988054683
conv_malloc,conv_malloc_approx,approx,float,512,0,5,0.006482400000000001,0.000605791896794784,1.9386940841519362,0.23841123556320015,139852.8,129063.5772781,2.94297e-08,5.8644700000000004e-08,3.76816e-08,2.027675e-07,K,5.0,,0.0061849,0.9541065037640378
conv_malloc,conv_malloc_approx,approx,float,512,0,7,0.0108616,0.0009140215412000844,2.012927204483035,0.24115214478459066,142748.4,128050.3489523,3.9052100000000003e-08,7.78423e-08,4.9974599999999994e-08,2.611558e-07,K,7.0,,0.009867299999999999,0.9084573175222802
conv_malloc,conv_malloc_approx,approx,float,512,1,3,0.0038263,0.0002204198266944243,1.937524591894198,0.24327848081495773,143314.7,-123.77265019999997,1.89889e-08,4.878473000000001e-07,2.59846e-08,2.3985809999999997e-07,K,3.0,,0.0026496,0.6924705328907822
