program,mode,approx_type,N,dist,K,seed,tempo,cycles,instructions,cache_references,cache_misses,checksum,error_abs_mean,error_rel_mean,rmse,error_max
conv_malloc,exact,none,512,0,5,12353,0.007071,40827358,73343838,444640,112869,129022.546312,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12353,0.008032,44620502,95290837,424060,129586,129022.547472,0.000000027289,0.000000054580,0.000000034891,0.000000191221
conv_linear_approx,approx,skip_kernel,512,0,5,12353,0.004495,34032259,68652437,352567,108809,129020.416991,0.077790378450,0.159268351779,0.097545109854,0.426743285756
conv_malloc_approx,approx,float,512,0,5,12353,0.006797,43338787,84407819,576764,137871,129022.547472,0.000000027289,0.000000054580,0.000000034891,0.000000191221
conv_malloc_approx,approx,skip_kernel,512,0,5,12353,0.003665,32327760,60455944,473902,101637,129020.416991,0.077790378450,0.159268351779,0.097545109854,0.426743285756
conv_linear,exact,none,512,0,5,12354,0.006415,42312516,87526884,386940,110392,129177.489209,0,0,0,0
conv_malloc,exact,none,512,0,5,12354,0.006225,40895649,73334967,443344,111132,129177.489209,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12354,0.007056,53454832,95224678,412650,128143,129177.487891,0.000000028580,0.000000056966,0.000000036651,0.000000206874
conv_linear_approx,approx,skip_kernel,512,0,5,12354,0.003465,34138713,68579906,360094,109258,129186.721686,0.078336337315,0.159804314210,0.098277906645,0.403057743035
conv_malloc_approx,approx,float,512,0,5,12354,0.006002,43856031,84588407,591793,145149,129177.487891,0.000000028580,0.000000056966,0.000000036651,0.000000206874
conv_malloc_approx,approx,skip_kernel,512,0,5,12354,0.003199,32410889,60458129,489413,104003,129186.721686,0.078336337315,0.159804314210,0.098277906645,0.403057743035
conv_linear,exact,none,512,0,5,12355,0.005629,42473700,87557462,402569,112176,129007.468401,0,0,0,0
conv_malloc,exact,none,512,0,5,12355,0.005411,40907617,73334774,438858,111398,129007.468401,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12355,0.006147,44675972,95237838,419156,129553,129007.468186,0.000000029887,0.000000059371,0.000000038428,0.000000202421
conv_linear_approx,approx,skip_kernel,512,0,5,12355,0.003453,34147826,68678086,352536,108855,129013.963286,0.080617051471,0.164097694637,0.101296629664,0.424073544031
conv_malloc_approx,approx,float,512,0,5,12355,0.005996,43519675,84557410,585004,139716,129007.468186,0.000000029887,0.000000059371,0.000000038428,0.000000202421
conv_malloc_approx,approx,skip_kernel,512,0,5,12355,0.003199,32324607,60487435,478028,105198,129013.963286,0.080617051471,0.164097694637,0.101296629664,0.424073544031
conv_linear,exact,none,512,0,7,12346,0.012000,69127137,128806024,433593,109706,128182.734734,0,0,0,0
conv_malloc,exact,none,512,0,7,12346,0.012206,56402810,109443691,470625,112710,128182.734734,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12346,0.014544,64377220,148814290,425132,151444,128182.734753,0.000000038789,0.000000077073,0.000000049856,0.000000263286
conv_linear_approx,approx,skip_kernel,512,0,7,12346,0.005042,39874549,88643499,367037,110327,128181.792770,0.058429170472,0.117865394840,0.073796884364,0.323370530969
conv_malloc_approx,approx,float,512,0,7,12346,0.010787,61177384,123789806,591398,139077,128182.734753,0.000000038789,0.000000077073,0.000000049856,0.000000263286
conv_malloc_approx,approx,skip_kernel,512,0,7,12346,0.004684,37633298,75306078,482555,103835,128181.792770,0.058429170472,0.117865394840,0.073796884364,0.323370530969
conv_linear,exact,none,512,0,7,12347,0.010394,60098953,128815968,431168,110665,127868.702476,0,0,0,0
conv_malloc,exact,none,512,0,7,12347,0.009670,56503432,109384330,462115,116525,127868.702476,0,0,0,0
conv_linear_approx,approx,float,512,0,7,12347,0.011530,64315824,148819466,422456,132042,127868.701809,0.000000040286,0.000000080418,0.000000051510,0.000000270330
